137,公,4,3454,U+516C,B9AB,ɡōnɡ,gong,1
138,仓,4,3455,U+4ED3,B2D6,cānɡ,cang,1
139,月,4,3511,U+6708,D4C2,yuè,yue,4
140,氏,4,3515,U+6C0F,CACF,shì,shi,4
141,勿,4,3533,U+52FF,CEF0,wù,wu,4
142,欠,4,3534,U+6B20,C7B7,qiàn,qian,4
143,风,4,3534,U+98CE,B7E7,fēnɡ,feng,1
144,丹,4,3541,U+4E39,B5A4,dān,dan,1
145,匀,4,3541,U+5300,D4C8,yún,yun,2
146,乌,4,3551,U+4E4C,CEDA,wū,wu,1
147,凤,4,3554,U+51E4,B7EF,fènɡ,feng,4
148,勾,4,3554,U+52FE,B9B4,ɡōu,gou,1
149,文,4,4134,U+6587,CEC4,wén,wen,2
150,六,4,4134,U+516D,C1F9,liù,liu,4
151,方,4,4153,U+65B9,B7BD,fānɡ,fang,1
152,火,4,4334,U+706B,BBF0,huǒ,huo,3
153,为,4,4354,U+4E3A,CEAA,wéi,wei,2
154,斗,4,4412,U+6597,B6B7,dòu,dou,4
155,忆,4,4425,U+5FC6,D2E4,yì,yi,4
156,订,4,4512,U+8BA2,B6A9,dìnɡ,ding,4
157,计,4,4512,U+8BA1,BCC6,jì,ji,4
158,户,4,4513,U+6237,BBA7,hù,hu,4
159,认,4,4534,U+8BA4,C8CF,rèn,ren,4
160,心,4,4544,U+5FC3,D0C4,xīn,xin,1
161,尺,4,5134,U+5C3A,B3DF,chǐ,chi,3
162,引,4,5152,U+5F15,D2FD,yǐn,yin,3
163,丑,4,5211,U+4E11,B3F3,chǒu,chou,3
164,巴,4,5215,U+5DF4,B0CD,bā,ba,1
165,孔,4,5215,U+5B54,BFD7,kǒnɡ,kong,3
166,队,4,5234,U+961F,B6D3,duì,dui,4
167,办,4,5344,U+529E,B0EC,bàn,ban,4
168,以,4,5434,U+4EE5,D2D4,yǐ,yi,3
169,允,4,5435,U+5141,D4CA,yǔn,yun,3
170,予,4,5452,U+4E88,D3E8,yǔ,yu,3
171,劝,4,5453,U+529D,C8B0,quàn,quan,4
172,双,4,5454,U+53CC,CBAB,shuānɡ,shuang,1
173,书,4,5524,U+4E66,CAE9,shū,shu,1
174,幻,4,5545,U+5E7B,BBC3,huàn,huan,4
175,玉,5,11214,U+7389,D3F1,yù,yu,4
176,刊,5,11222,U+520A,BFAF,kān,kan,1
177,示,5,11234,U+793A,CABE,shì,shi,4
178,末,5,11234,U+672B,C4A9,mò,mo,4
179,未,5,11234,U+672A,CEB4,wèi,wei,4
180,击,5,11252,U+51FB,BBF7,jī,ji,1
181,打,5,12112,U+6253,B4F2,dǎ,da,3
182,巧,5,12115,U+5DE7,C7C9,qiǎo,qiao,3
183,正,5,12121,U+6B63,D5FD,zhènɡ,zheng,4
184,扑,5,12124,U+6251,C6CB,pū,pu,1
185,扒,5,12134,U+6252,B0C7,bā,ba,1
186,功,5,12153,U+529F,B9A6,ɡōnɡ,gong,1
187,扔,5,12153,U+6254,C8D3,rēnɡ,reng,1
188,去,5,12154,U+53BB,C8A5,qù,qu,4
189,甘,5,12211,U+7518,B8CA,ɡān,gan,1
190,世,5,12215,U+4E16,CAC0,shì,shi,4
191,古,5,12251,U+53E4,B9C5,ɡǔ,gu,3
192,节,5,12252,U+8282,BDDA,jié,jie,2
193,本,5,12341,U+672C,B1BE,běn,ben,3
194,术,5,12344,U+672F,CAF5,shù,shu,4
195,可,5,12512,U+53EF,BFC9,kě,ke,3
196,丙,5,12534,U+4E19,B1FB,bǐnɡ,bing,3
197,左,5,13121,U+5DE6,D7F3,zuǒ,zuo,3
198,厉,5,13153,U+5389,C0F7,lì,li,4
199,右,5,13251,U+53F3,D3D2,yòu,you,4
200,石,5,13251,U+77F3,CAAF,shí,shi,2
201,布,5,13252,U+5E03,B2BC,bù,bu,4
202,龙,5,13534,U+9F99,C1FA,lónɡ,long,2
203,平,5,14312,U+5E73,C6BD,pínɡ,ping,2
204,灭,5,14334,U+706D,C3F0,miè,mie,4
205,轧,5,15215,U+8F67,D4FE,zhá,zha,2
206,东,5,15234,U+4E1C,B6AB,dōnɡ,dong,1
207,卡,5,21124,U+5361,BFA8,kǎ,ka,3
208,北,5,21135,U+5317,B1B1,běi,bei,3
209,占,5,21251,U+5360,D5BC,zhàn,zhan,4
210,业,5,22431,U+4E1A,D2B5,yè,ye,4
211,旧,5,22511,U+65E7,BEC9,jiù,jiu,4
212,帅,5,23252,U+5E05,CBA7,shuài,shuai,4
213,归,5,23511,U+5F52,B9E9,ɡuī,gui,1
214,且,5,25111,U+4E14,C7D2,qiě,qie,3
215,旦,5,25111,U+65E6,B5A9,dàn,dan,4
216,目,5,25111,U+76EE,C4BF,mù,mu,4
217,叶,5,25112,U+53F6,D2B6,yè,ye,4
218,甲,5,25112,U+7532,BCD7,jiǎ,jia,3
219,申,5,25112,U+7533,C9EA,shēn,shen,1
220,叮,5,25112,U+53EE,B6A3,dīnɡ,ding,1
221,电,5,25115,U+7535,B5E7,diàn,dian,4
222,号,5,25115,U+53F7,BAC5,hào,hao,4
223,田,5,25121,U+7530,CCEF,tián,tian,2
224,由,5,25121,U+7531,D3C9,yóu,you,2
225,史,5,25134,U+53F2,CAB7,shǐ,shi,3
226,只,5,25134,U+53EA,D6BB,zhī,zhi,1
227,央,5,25134,U+592E,D1EB,yānɡ,yang,1
228,兄,5,25135,U+5144,D0D6,xiōnɡ,xiong,1
229,叼,5,25151,U+53FC,B5F0,diāo,diao,1
230,叫,5,25152,U+53EB,BDD0,jiào,jiao,4
231,另,5,25153,U+53E6,C1ED,lìnɡ,ling,4
232,叨,5,25153,U+53E8,DFB6,dāo,dao,1
233,叹,5,25154,U+53F9,CCBE,tàn,tan,4
234,四,5,25351,U+56DB,CBC4,sì,si,4
235,生,5,31121,U+751F,C9FA,shēnɡ,sheng,1
236,失,5,31134,U+5931,CAA7,shī,shi,1
