225,冈,010
226,内,010
227,內,010
228,水,010
229,见,010
230,禸,010
231,午,011
232,牛,011
233,手,011
234,气,011
235,毛,011
236,壬,011
237,牜,011
238,升,011
239,夭,011
240,攵,011
241,长,011
242,仁,011
243,什,011
244,仃,011
245,片,011
246,仆,011
247,仈,011
248,化,011
249,仉,011
250,仇,011
251,屲,011
252,币,011
253,仂,011
254,仍,011
255,仅,011
256,仏,011
257,斤,101
258,爪,101
259,丯,101
260,戶,101
261,反,101
262,仐,101
263,兮,101
264,刈,101
265,介,101
266,父,101
267,从,101
268,仌,101
269,爻,101
270,尣,101
271,乥,101
272,仑,101
273,爫,101
274,仒,101
275,今,101
276,凶,101
277,分,101
278,乏,101
279,公,101
280,仓,101
281,月,100
282,勻,100
283,卆,100
284,厃,100
285,氏,100
286,勿,100
287,欠,100
288,勽,100
289,匁,100
290,风,100
291,匂,100
292,勼,100
293,丹,100
294,匀,100
295,乌,100
296,卬,100
297,殳,100
298,勾,100
299,凤,100
300,厹,100
301,卞,100
302,亣,100
303,六,100
304,文,100
305,亢,100
306,方,100
307,闩,101
308,火,101
309,兯,101
310,为,101
311,斗,110
312,忆,110
313,灬,110
314,计,110
315,订,110
316,户,110
317,礻,110
318,讣,110
319,认,110
320,冘,110
321,冗,110
322,讥,110
323,心,110
324,肀,111
325,丮,111
326,尹,111
327,卐,111
328,尺,111
329,夬,111
330,弖,111
331,引,111
332,弔,111
333,丑,111
334,卍,111
335,爿,111
336,巴,111
337,孔,111
338,队,111
339,阞,111
340,収,111
341,丒,111
342,刅,111
343,办,111
344,夃,111
345,以,111
346,允,111
347,予,111
348,邓,111
349,劝,111
350,厸,111
351,双,111
352,毌,111
353,书,111
354,毋,111
355,幻,111
356,乣,111
357,弍,001
358,玊,001
359,玉,001
360,匞,001
361,玌,001
362,刊,001
363,未,001
364,末,001
365,示,001
366,击,001
367,邗,001
368,邘,001
369,丼,001
370,戋,001
371,圢,000
372,打,000
373,巧,000
374,正,000
375,圤,000
376,扑,000
377,卉,000
378,圦,000
379,扒,000
380,扖,000
381,圥,000
382,扏,000
383,凷,000
384,壭,000
385,卭,000
386,邛,000
387,功,000
388,扐,000
389,扔,000
390,去,000
391,払,000
392,甘,000
393,艼,000
394,世,000
395,丗,000
396,卌,000
397,艾,000
398,芁,000
399,艽,000
400,古,000
401,节,000
402,芀,000
403,艻,000
404,艿,000
405,本,000
406,术,000
407,札,000
408,朰,000
409,朮,000
410,刌,000
411,辻,000
412,可,000
413,叵,000
414,匝,000
415,丙,000
416,厈,001
417,圧,001
418,左,001
